PH, moisture
82000, 71, 5032
84000, 76, 5141
86000, 63, 5004
88000, 68, 5090
90000, 69, 5002
92000, 63, 5043
94000, 72, 5046
96000, 65, 5198
98000, 63, 5015
100000, 62, 5026
102000, 78, 5093
104000, 66, 5196
106000, 71, 5089
108000, 70, 5189
110000, 74, 5181
112000, 70, 5010
114000, 79, 5014
116000, 76, 5161
118000, 67, 5192
120000, 69, 5015
122000, 79, 5141
124000, 65, 5114
126000, 73, 5045
128000, 64, 5069
130000, 62, 5132
132000, 74, 5173
134000, 71, 5159
136000, 74, 5039
138000, 71, 5057
140000, 74, 5013
142000, 70, 5011
144000, 70, 5025
146000, 72, 5012
148000, 60, 5039
150000, 72, 5063
152000, 67, 5023
154000, 76, 5055
156000, 68, 5139
158000, 70, 5043
160000, 68, 5178
162000, 65, 5037
164000, 79, 5042
166000, 69, 5069
168000, 68, 5121
170000, 65, 5158
172000, 60, 5172
174000, 63, 5162
176000, 60, 5005
178000, 72, 5165
180000, 70, 5143
182000, 75, 5133
184000, 65, 5015
186000, 60, 5097
188000, 65, 5182
190000, 69, 5185
192000, 71, 5116
194000, 64, 5062
196000, 61, 5105
198000, 62, 5018
200000, 64, 5001
202000, 66, 5144
204000, 71, 5107
206000, 75, 5031
208000, 70, 5044
210000, 71, 5043
212000, 70, 5189
214000, 73, 5029
216000, 71, 5187
218000, 76, 5165
220000, 66, 5056
222000, 75, 5018
224000, 71, 5023
226000, 69, 5088
228000, 66, 5050
230000, 67, 5141
232000, 74, 5096
234000, 65, 5163
236000, 68, 5079
238000, 67, 5004
240000, 72, 5053
242000, 69, 5143
244000, 78, 5176
246000, 60, 5197
248000, 63, 5059
250000, 66, 5137
252000, 74, 5041
254000, 73, 5061
256000, 76, 5030
258000, 61, 5122
260000, 64, 5180
262000, 76, 5070
264000, 61, 5054
266000, 68, 5162
268000, 64, 5125
270000, 71, 5190
272000, 61, 5123
274000, 76, 5055
276000, 78, 5035
278000, 77, 5136
280000, 68, 5198
282000, 71, 5058
284000, 67, 5078
286000, 77, 5143
288000, 76, 5083
290000, 77, 5150
292000, 78, 5170
294000, 75, 5057
296000, 64, 5169
298000, 76, 5122
300000, 79, 5104
302000, 71, 5135
304000, 64, 5133
306000, 67, 5150
308000, 67, 5130
310000, 61, 5164
312000, 63, 5002
314000, 76, 5180
316000, 75, 5168
318000, 73, 5019
320000, 76, 5171
322000, 67, 5150
324000, 60, 5178
326000, 74, 5022
328000, 73, 5048
330000, 70, 5076
332000, 73, 5195
334000, 69, 5155
336000, 71, 5109
338000, 72, 5135
340000, 77, 5168
342000, 69, 5176
344000, 71, 5114
346000, 74, 5107
348000, 77, 5136
350000, 61, 5042
352000, 79, 5136
354000, 62, 5086
356000, 66, 5145
358000, 63, 5112
360000, 75, 5167
362000, 77, 5007
364000, 61, 5091
366000, 62, 5065
368000, 70, 5035
370000, 79, 5187
372000, 61, 5060
374000, 73, 5193
376000, 61, 5054
378000, 69, 5119
380000, 68, 5147
382000, 60, 5072
384000, 69, 5093
386000, 71, 5133
388000, 70, 5142
390000, 64, 5161
392000, 77, 5178
394000, 64, 5090
396000, 72, 5029
398000, 68, 5082
400000, 73, 5073
402000, 73, 5193
404000, 66, 5103
406000, 78, 5079
408000, 78, 5140
410000, 63, 5123
412000, 75, 5106
414000, 76, 5010
416000, 78, 5033
418000, 68, 5063
420000, 71, 5053
422000, 73, 5074
424000, 60, 5134
426000, 79, 5064
428000, 62, 5015
430000, 60, 5120
432000, 73, 5120
434000, 79, 5163
436000, 60, 5175
438000, 76, 5058
440000, 68, 5111
442000, 61, 5062
444000, 63, 5191
446000, 74, 5106
448000, 64, 5013
450000, 61, 5103
452000, 66, 5043
454000, 68, 5167
456000, 60, 5152
458000, 76, 5078
460000, 79, 5151
462000, 68, 5041
464000, 78, 5023
466000, 70, 5097
468000, 73, 5075
470000, 63, 5093
472000, 72, 5073
474000, 65, 5011
476000, 64, 5185
478000, 69, 5084
480000, 66, 5009
482000, 72, 5144
484000, 70, 5197
486000, 68, 5060
488000, 63, 5041
490000, 77, 5150
492000, 73, 5003
494000, 79, 5169
496000, 67, 5184
498000, 60, 5082
500000, 70, 5095
502000, 69, 5066
504000, 71, 5162
506000, 69, 5164
508000, 75, 5105
510000, 60, 5107
512000, 66, 5151
514000, 79, 5146
516000, 78, 5177
518000, 65, 5145
520000, 62, 5106
522000, 63, 5103
524000, 60, 5121
526000, 72, 5060
528000, 71, 5111
530000, 64, 5192
532000, 61, 5184
534000, 73, 5148
536000, 71, 5014
538000, 79, 5151
540000, 64, 5169
542000, 76, 5033
544000, 77, 5136
546000, 60, 5184
548000, 67, 5026
550000, 66, 5093
552000, 72, 5018
554000, 69, 5190
556000, 64, 5141
558000, 71, 5006
560000, 70, 5014
562000, 69, 5061
564000, 61, 5124
566000, 65, 5068
568000, 70, 5042
570000, 74, 5127
572000, 72, 5167
574000, 64, 5149
576000, 60, 5028
578000, 70, 5143
580000, 75, 5198
582000, 77, 5120
584000, 67, 5117
586000, 70, 5155
588000, 79, 5185
590000, 63, 5022
592000, 62, 5157
594000, 66, 5194
596000, 65, 5083
598000, 64, 5172
600000, 66, 5036
602000, 60, 5027
604000, 65, 5065
606000, 71, 5110
608000, 75, 5115
610000, 79, 5090
612000, 63, 5002
614000, 65, 5197
616000, 75, 5124
618000, 61, 5030
620000, 76, 5187
622000, 63, 5090
624000, 61, 5134
626000, 79, 5007
628000, 76, 5178
630000, 71, 5021
632000, 73, 5107
634000, 78, 5003
636000, 64, 5104
638000, 75, 5031
640000, 70, 5168
642000, 78, 5082
644000, 63, 5191
646000, 71, 5037
648000, 62, 5078
650000, 60, 5036
652000, 63, 5097
654000, 62, 5155
656000, 79, 5058
658000, 65, 5002
660000, 68, 5134
662000, 72, 5145
664000, 66, 5127
666000, 63, 5024
668000, 69, 5170
670000, 69, 5041
672000, 75, 5198
674000, 79, 5129
676000, 65, 5175
678000, 74, 5151
680000, 61, 5171
682000, 63, 5008
684000, 63, 5022
686000, 73, 5079
688000, 75, 5032
690000, 78, 5136
692000, 75, 5132
694000, 65, 5178
696000, 69, 5027
698000, 60, 5090
700000, 65, 5020
702000, 72, 5126
704000, 70, 5061
706000, 71, 5095
708000, 79, 5179
710000, 63, 5035
712000, 77, 5143
714000, 66, 5064
716000, 68, 5125
718000, 62, 5066
720000, 73, 5072
722000, 71, 5104
724000, 60, 5000
726000, 68, 5193
728000, 74, 5113
730000, 70, 5051
732000, 66, 5041
734000, 76, 5071
736000, 69, 5008
738000, 63, 5189
740000, 60, 5146
742000, 77, 5123
744000, 68, 5189
746000, 72, 5055
748000, 68, 5055
750000, 70, 5168
752000, 63, 5042
754000, 69, 5119
756000, 60, 5038
758000, 68, 5102
760000, 72, 5036
762000, 72, 5097
764000, 61, 5014
766000, 70, 5077
768000, 66, 5075
770000, 63, 5034
772000, 72, 5091
774000, 70, 5017
776000, 71, 5124
778000, 60, 5069
780000, 61, 5159
782000, 60, 5083
784000, 63, 5132
786000, 72, 5146
788000, 74, 5187
790000, 77, 5025
792000, 75, 5170
794000, 79, 5012
796000, 60, 5024
798000, 74, 5040
800000, 61, 5067
802000, 67, 5183
804000, 75, 5172
806000, 75, 5171
808000, 64, 5178
810000, 73, 5123
812000, 75, 5171
814000, 75, 5146
816000, 63, 5085
818000, 78, 5087
820000, 67, 5118
822000, 63, 5195
824000, 68, 5192
826000, 78, 5021
828000, 77, 5198
830000, 68, 5078
832000, 62, 5091
834000, 68, 5014
836000, 77, 5134
838000, 77, 5125
840000, 64, 5114
842000, 78, 5170
844000, 60, 5127
846000, 68, 5148
848000, 66, 5099
850000, 64, 5059
852000, 79, 5069
854000, 75, 5137
856000, 68, 5015
858000, 66, 5105
860000, 63, 5142
862000, 70, 5023
864000, 64, 5054
866000, 69, 5127
868000, 75, 5110
870000, 66, 5194
872000, 77, 5036
874000, 75, 5036
876000, 60, 5018
878000, 76, 5083
880000, 62, 5093
882000, 77, 5072
884000, 67, 5088
886000, 63, 5169
888000, 67, 5079
890000, 71, 5199
892000, 61, 5136
894000, 70, 5001
896000, 71, 5151
898000, 71, 5136
900000, 60, 5027
902000, 61, 5154
904000, 60, 5109
906000, 64, 5161
908000, 75, 5063
910000, 66, 5181
912000, 64, 5112
914000, 79, 5094
916000, 72, 5038
918000, 78, 5102
920000, 63, 5053
922000, 75, 5041
924000, 77, 5169
926000, 76, 5070
928000, 75, 5189
930000, 60, 5036
932000, 76, 5018
934000, 71, 5049
936000, 76, 5194
938000, 67, 5002
940000, 75, 5044
942000, 71, 5026
944000, 73, 5151
946000, 67, 5027
948000, 76, 5136
950000, 75, 5101
952000, 66, 5008
954000, 65, 5130
956000, 66, 5032
958000, 73, 5015
960000, 69, 5063
962000, 78, 5091
964000, 67, 5144
966000, 69, 5039
968000, 72, 5084
970000, 66, 5133
972000, 64, 5108
974000, 69, 5067
976000, 69, 5119
978000, 62, 5159
980000, 61, 5087
982000, 75, 5151
984000, 64, 5193
986000, 75, 5116
988000, 64, 5022
990000, 73, 5003
992000, 74, 5081
994000, 63, 5115
996000, 73, 5138
998000, 73, 5130
1000000, 61, 5123
1002000, 69, 5030
1004000, 69, 5047
1006000, 73, 5078
1008000, 64, 5185
1010000, 79, 5012
1012000, 73, 5019
1014000, 65, 5027
1016000, 76, 5051
1018000, 70, 5168
1020000, 71, 5192
1022000, 74, 5177
1024000, 70, 5165
1026000, 66, 5156
1028000, 67, 5027
1030000, 78, 5171
1032000, 74, 5081
1034000, 64, 5192
1036000, 63, 5000
1038000, 73, 5021
1040000, 67, 5104
1042000, 78, 5117
1044000, 78, 5052
1046000, 63, 5155
1048000, 69, 5102
1050000, 65, 5002
1052000, 75, 5086
1054000, 70, 5192
1056000, 71, 5028
1058000, 60, 5025
1060000, 64, 5138
1062000, 79, 5099
1064000, 63, 5149
1066000, 68, 5030
1068000, 60, 5154
1070000, 69, 5010
1072000, 72, 5173
1074000, 76, 5155
1076000, 73, 5143
1078000, 63, 5116
1080000, 60, 5165
1082000, 68, 5182
1084000, 69, 5087
1086000, 64, 5080
1088000, 75, 5176
1090000, 75, 5133
1092000, 64, 5128
1094000, 79, 5072
1096000, 76, 5188
1098000, 65, 5107
1100000, 78, 5195
1102000, 68, 5188
1104000, 67, 5094
1106000, 65, 5105
1108000, 69, 5169
1110000, 70, 5158
1112000, 76, 5191
1114000, 70, 5159
1116000, 75, 5186
1118000, 79, 5045
1120000, 63, 5074
1122000, 61, 5180
1124000, 74, 5104
1126000, 69, 5108
1128000, 71, 5063
1130000, 75, 5019
1132000, 77, 5022
1134000, 67, 5014
1136000, 73, 5019
1138000, 64, 5099
1140000, 67, 5025
1142000, 68, 5101
1144000, 74, 5111
1146000, 74, 5067
1148000, 78, 5127
1150000, 75, 5064
1152000, 79, 5085
1154000, 72, 5161
1156000, 60, 5043
1158000, 68, 5193
1160000, 75, 5121
1162000, 74, 5042
1164000, 73, 5180
1166000, 63, 5031
1168000, 60, 5135
1170000, 70, 5007
1172000, 69, 5094
1174000, 63, 5038
1176000, 71, 5175
1178000, 66, 5110
1180000, 78, 5017
1182000, 61, 5126
1184000, 71, 5114
1186000, 67, 5100
1188000, 60, 5031
1190000, 71, 5021
1192000, 64, 5062
1194000, 72, 5091
1196000, 72, 5159
1198000, 75, 5139
1200000, 75, 5002
1202000, 77, 5138
1204000, 74, 5115
1206000, 79, 5057
1208000, 69, 5097
1210000, 64, 5033
1212000, 61, 5054
1214000, 64, 5047
1216000, 70, 5104
1218000, 61, 5015
1220000, 78, 5095
1222000, 74, 5199
1224000, 71, 5084
1226000, 73, 5174
1228000, 70, 5091
1230000, 79, 5118
1232000, 76, 5031
1234000, 65, 5146
1236000, 65, 5026
1238000, 60, 5171
1240000, 72, 5180
1242000, 68, 5076
1244000, 70, 5041
1246000, 63, 5168
1248000, 72, 5066
1250000, 65, 5097
1252000, 64, 5185
1254000, 68, 5139
1256000, 69, 5082
1258000, 63, 5022
1260000, 62, 5154
1262000, 63, 5186
1264000, 77, 5113
1266000, 75, 5120
1268000, 70, 5079
1270000, 74, 5000
1272000, 62, 5051
1274000, 77, 5061
1276000, 73, 5002
1278000, 61, 5010
1280000, 64, 5004
1282000, 73, 5082
1284000, 60, 5044
1286000, 65, 5187
1288000, 71, 5085
1290000, 78, 5029
1292000, 68, 5052
1294000, 79, 5092
1296000, 66, 5064
1298000, 61, 5073
1300000, 66, 5108
1302000, 74, 5118
1304000, 67, 5124
1306000, 63, 5160
1308000, 74, 5128
1310000, 78, 5146
1312000, 63, 5152
1314000, 63, 5046
1316000, 63, 5016
1318000, 69, 5137
1320000, 68, 5153
1322000, 60, 5171
1324000, 68, 5154
1326000, 73, 5195
1328000, 61, 5089
1330000, 78, 5066
1332000, 61, 5020
1334000, 74, 5014
1336000, 71, 5071
1338000, 75, 5198
1340000, 62, 5034
1342000, 60, 5024
1344000, 70, 5108
1346000, 69, 5101
1348000, 70, 5017
1350000, 64, 5156
1352000, 75, 5101
1354000, 75, 5128
1356000, 62, 5071
1358000, 69, 5065
1360000, 65, 5113
1362000, 63, 5191
1364000, 60, 5155
1366000, 70, 5022
1368000, 61, 5107
1370000, 64, 5119
1372000, 66, 5003
1374000, 74, 5033
1376000, 76, 5119
1378000, 67, 5043
1380000, 64, 5035
1382000, 68, 5132
1384000, 68, 5029
1386000, 60, 5156
1388000, 78, 5103
1390000, 70, 5102
1392000, 75, 5153
1394000, 70, 5117
1396000, 78, 5153
1398000, 60, 5142
1400000, 61, 5092
1402000, 65, 5014
1404000, 61, 5017
1406000, 66, 5189
1408000, 79, 5024
1410000, 62, 5190
1412000, 73, 5145
1414000, 61, 5093
1416000, 74, 5091
1418000, 75, 5179
1420000, 69, 5164
1422000, 74, 5022
1424000, 75, 5030
1426000, 76, 5074
1428000, 76, 5159
1430000, 68, 5014
1432000, 79, 5031
