PH, moisture
82000, 69, 5132
84000, 75, 5193
86000, 60, 5150
88000, 75, 5188
90000, 68, 5051
92000, 63, 5145
94000, 74, 5053
96000, 60, 5070
98000, 73, 5182
100000, 69, 5159
102000, 79, 5015
104000, 62, 5146
106000, 69, 5126
108000, 68, 5152
110000, 69, 5124
112000, 75, 5027
114000, 67, 5116
116000, 69, 5169
118000, 67, 5175
120000, 63, 5101
122000, 62, 5017
124000, 62, 5018
126000, 72, 5091
128000, 69, 5039
130000, 64, 5131
132000, 67, 5107
134000, 64, 5186
136000, 61, 5019
138000, 72, 5086
140000, 70, 5162
142000, 72, 5121
144000, 63, 5119
146000, 69, 5148
148000, 61, 5016
150000, 60, 5048
152000, 73, 5142
154000, 68, 5150
156000, 79, 5138
158000, 77, 5177
160000, 69, 5115
162000, 65, 5027
164000, 64, 5158
166000, 77, 5161
168000, 64, 5106
170000, 68, 5031
172000, 61, 5114
174000, 62, 5024
176000, 72, 5132
178000, 61, 5062
180000, 64, 5105
182000, 70, 5108
184000, 78, 5102
186000, 79, 5019
188000, 77, 5022
190000, 61, 5144
192000, 78, 5019
194000, 77, 5143
196000, 61, 5047
198000, 62, 5154
200000, 74, 5176
202000, 76, 5032
204000, 79, 5064
206000, 62, 5152
208000, 62, 5022
210000, 68, 5110
212000, 63, 5055
214000, 61, 5176
216000, 69, 5105
218000, 64, 5146
220000, 60, 5096
222000, 66, 5039
224000, 77, 5158
226000, 77, 5013
228000, 78, 5064
230000, 77, 5083
232000, 70, 5188
234000, 60, 5141
236000, 66, 5162
238000, 73, 5117
240000, 67, 5037
242000, 70, 5085
244000, 66, 5130
246000, 76, 5120
248000, 64, 5074
250000, 78, 5028
252000, 65, 5039
254000, 73, 5159
256000, 64, 5154
258000, 65, 5011
260000, 72, 5021
262000, 75, 5028
264000, 62, 5016
266000, 74, 5151
268000, 73, 5119
270000, 71, 5199
272000, 65, 5028
274000, 76, 5131
276000, 78, 5043
278000, 62, 5047
280000, 66, 5165
282000, 70, 5176
284000, 76, 5082
286000, 64, 5024
288000, 70, 5065
290000, 70, 5114
292000, 72, 5029
294000, 69, 5079
296000, 65, 5180
298000, 75, 5077
300000, 63, 5036
302000, 66, 5084
304000, 75, 5132
306000, 68, 5098
308000, 60, 5193
310000, 60, 5163
312000, 76, 5096
314000, 67, 5180
316000, 63, 5021
318000, 79, 5085
320000, 74, 5057
322000, 74, 5005
324000, 69, 5009
326000, 74, 5048
328000, 78, 5175
330000, 65, 5082
332000, 70, 5194
334000, 71, 5179
336000, 71, 5014
338000, 76, 5177
340000, 71, 5129
342000, 60, 5159
344000, 64, 5084
346000, 62, 5118
348000, 79, 5101
350000, 66, 5142
352000, 74, 5174
354000, 76, 5079
356000, 70, 5023
358000, 62, 5014
360000, 62, 5001
362000, 75, 5094
364000, 72, 5114
366000, 76, 5166
368000, 74, 5158
370000, 70, 5057
372000, 62, 5096
374000, 79, 5005
376000, 61, 5121
378000, 72, 5034
380000, 78, 5029
382000, 62, 5189
384000, 68, 5103
386000, 63, 5095
388000, 73, 5080
390000, 69, 5045
392000, 63, 5058
394000, 78, 5012
396000, 60, 5138
398000, 73, 5155
400000, 63, 5092
402000, 71, 5044
404000, 62, 5125
406000, 70, 5069
408000, 64, 5094
410000, 69, 5007
412000, 77, 5016
414000, 67, 5040
416000, 60, 5173
418000, 66, 5125
420000, 71, 5155
422000, 74, 5035
424000, 63, 5003
426000, 71, 5085
428000, 63, 5021
430000, 69, 5069
432000, 76, 5137
434000, 76, 5054
436000, 62, 5117
438000, 66, 5006
440000, 68, 5154
442000, 72, 5104
444000, 60, 5038
446000, 79, 5054
448000, 71, 5077
450000, 67, 5192
452000, 77, 5163
454000, 70, 5173
456000, 70, 5034
458000, 73, 5120
460000, 64, 5005
462000, 63, 5030
464000, 60, 5187
466000, 61, 5170
468000, 68, 5016
470000, 68, 5097
472000, 63, 5152
474000, 66, 5168
476000, 63, 5016
478000, 70, 5190
480000, 64, 5131
482000, 78, 5035
484000, 71, 5140
486000, 67, 5113
488000, 60, 5044
490000, 69, 5147
492000, 71, 5152
494000, 74, 5150
496000, 63, 5103
498000, 60, 5147
500000, 64, 5106
502000, 60, 5043
504000, 67, 5082
506000, 66, 5008
508000, 73, 5122
510000, 66, 5175
512000, 77, 5001
514000, 68, 5159
516000, 64, 5035
518000, 69, 5188
520000, 64, 5045
522000, 75, 5124
524000, 76, 5192
526000, 75, 5040
528000, 77, 5006
530000, 63, 5145
532000, 70, 5160
534000, 71, 5086
536000, 73, 5086
538000, 75, 5009
540000, 77, 5058
542000, 67, 5001
544000, 79, 5187
546000, 61, 5005
548000, 70, 5138
550000, 72, 5022
552000, 71, 5084
554000, 71, 5037
556000, 77, 5106
558000, 78, 5166
560000, 64, 5111
562000, 71, 5074
564000, 77, 5012
566000, 73, 5069
568000, 71, 5049
570000, 75, 5035
572000, 76, 5031
574000, 66, 5034
576000, 70, 5145
578000, 68, 5024
580000, 61, 5156
582000, 72, 5094
584000, 73, 5011
586000, 69, 5110
588000, 74, 5071
590000, 63, 5092
592000, 61, 5152
594000, 72, 5118
596000, 74, 5012
598000, 76, 5138
600000, 68, 5054
602000, 72, 5191
604000, 67, 5183
606000, 68, 5101
608000, 64, 5123
610000, 66, 5133
612000, 79, 5043
614000, 66, 5196
616000, 70, 5067
618000, 62, 5118
620000, 64, 5174
622000, 70, 5079
624000, 66, 5017
626000, 61, 5134
628000, 77, 5005
630000, 71, 5144
632000, 61, 5172
634000, 63, 5018
636000, 67, 5049
638000, 64, 5119
640000, 63, 5171
642000, 74, 5169
644000, 61, 5078
646000, 62, 5128
648000, 68, 5189
650000, 65, 5006
652000, 78, 5159
654000, 64, 5143
656000, 79, 5194
658000, 65, 5170
660000, 61, 5100
662000, 79, 5127
664000, 79, 5132
666000, 79, 5134
668000, 73, 5186
670000, 74, 5022
672000, 66, 5005
674000, 79, 5069
676000, 72, 5138
678000, 60, 5002
680000, 69, 5019
682000, 66, 5141
684000, 65, 5086
686000, 73, 5028
688000, 75, 5036
690000, 62, 5127
692000, 71, 5131
694000, 68, 5080
696000, 79, 5024
698000, 78, 5065
700000, 66, 5035
702000, 68, 5028
704000, 78, 5069
706000, 69, 5005
708000, 72, 5170
710000, 70, 5170
712000, 69, 5125
714000, 66, 5189
716000, 71, 5117
718000, 79, 5018
720000, 73, 5033
722000, 77, 5141
724000, 78, 5059
726000, 60, 5165
728000, 74, 5058
730000, 61, 5080
732000, 79, 5116
734000, 75, 5020
736000, 76, 5128
738000, 64, 5050
740000, 74, 5183
742000, 75, 5128
744000, 72, 5144
746000, 63, 5026
748000, 79, 5142
750000, 75, 5133
752000, 60, 5138
754000, 69, 5089
756000, 60, 5186
758000, 66, 5196
760000, 64, 5173
762000, 76, 5051
764000, 69, 5036
766000, 71, 5128
768000, 68, 5071
770000, 65, 5090
772000, 77, 5102
774000, 65, 5197
776000, 60, 5080
778000, 73, 5099
780000, 78, 5115
782000, 68, 5091
784000, 74, 5083
786000, 77, 5081
788000, 63, 5069
790000, 68, 5183
792000, 76, 5083
794000, 75, 5103
796000, 72, 5031
798000, 66, 5165
800000, 77, 5165
802000, 60, 5019
804000, 61, 5031
806000, 76, 5153
808000, 60, 5179
810000, 72, 5091
812000, 70, 5007
814000, 61, 5078
816000, 78, 5158
818000, 76, 5043
820000, 69, 5100
822000, 72, 5060
824000, 68, 5057
826000, 78, 5037
828000, 78, 5177
830000, 78, 5010
832000, 78, 5134
834000, 66, 5140
836000, 75, 5032
838000, 72, 5135
840000, 71, 5008
842000, 70, 5166
844000, 67, 5157
846000, 75, 5099
848000, 63, 5189
850000, 74, 5192
852000, 69, 5010
854000, 77, 5073
856000, 63, 5057
858000, 71, 5037
860000, 70, 5191
862000, 64, 5142
864000, 76, 5083
866000, 72, 5003
868000, 72, 5199
870000, 64, 5190
872000, 65, 5159
874000, 64, 5076
876000, 65, 5145
878000, 73, 5039
880000, 68, 5166
882000, 73, 5149
884000, 74, 5039
886000, 71, 5086
888000, 68, 5197
890000, 61, 5088
892000, 66, 5079
894000, 73, 5153
896000, 69, 5076
898000, 66, 5036
900000, 74, 5033
902000, 78, 5020
904000, 63, 5040
906000, 70, 5074
908000, 62, 5180
910000, 68, 5185
912000, 74, 5140
914000, 79, 5125
916000, 75, 5003
918000, 68, 5123
920000, 73, 5021
922000, 67, 5061
924000, 71, 5048
926000, 68, 5187
928000, 76, 5005
930000, 69, 5008
932000, 74, 5139
934000, 76, 5038
936000, 79, 5023
938000, 69, 5158
940000, 61, 5026
942000, 74, 5049
944000, 61, 5076
946000, 72, 5092
948000, 63, 5073
950000, 62, 5081
952000, 76, 5122
954000, 65, 5009
956000, 63, 5001
958000, 74, 5014
960000, 72, 5110
962000, 68, 5142
964000, 78, 5115
966000, 73, 5159
968000, 72, 5128
970000, 75, 5037
972000, 77, 5174
974000, 74, 5155
976000, 72, 5135
978000, 68, 5186
980000, 61, 5142
982000, 64, 5133
984000, 71, 5046
986000, 60, 5001
988000, 74, 5158
990000, 75, 5156
992000, 72, 5190
994000, 77, 5172
996000, 71, 5145
998000, 79, 5016
1000000, 62, 5054
1002000, 78, 5027
1004000, 75, 5119
1006000, 63, 5195
1008000, 61, 5051
1010000, 72, 5013
1012000, 64, 5130
1014000, 69, 5110
1016000, 68, 5021
1018000, 71, 5056
1020000, 78, 5034
1022000, 69, 5160
1024000, 68, 5148
1026000, 69, 5085
1028000, 60, 5031
1030000, 70, 5146
1032000, 79, 5150
1034000, 67, 5121
1036000, 76, 5025
1038000, 76, 5176
1040000, 63, 5073
1042000, 68, 5087
1044000, 67, 5188
1046000, 65, 5163
1048000, 73, 5123
1050000, 73, 5039
1052000, 75, 5076
1054000, 61, 5063
1056000, 65, 5182
1058000, 68, 5080
1060000, 71, 5022
1062000, 67, 5138
1064000, 67, 5020
1066000, 74, 5112
1068000, 73, 5180
1070000, 61, 5131
1072000, 71, 5055
1074000, 72, 5050
1076000, 73, 5141
1078000, 71, 5086
1080000, 68, 5183
1082000, 63, 5057
1084000, 73, 5057
1086000, 77, 5019
1088000, 66, 5078
1090000, 79, 5022
1092000, 74, 5119
1094000, 63, 5082
1096000, 77, 5135
1098000, 67, 5167
1100000, 75, 5160
1102000, 66, 5168
1104000, 79, 5192
1106000, 70, 5082
1108000, 62, 5028
1110000, 71, 5196
1112000, 69, 5092
1114000, 73, 5156
1116000, 63, 5129
1118000, 65, 5022
1120000, 74, 5097
1122000, 60, 5181
1124000, 70, 5101
1126000, 61, 5012
1128000, 69, 5046
1130000, 79, 5133
1132000, 62, 5182
1134000, 69, 5169
1136000, 72, 5164
1138000, 63, 5004
1140000, 65, 5135
