PH, moisture
82000, 71, 5122
84000, 78, 5125
86000, 67, 5056
88000, 78, 5158
90000, 72, 5017
92000, 62, 5018
94000, 62, 5056
96000, 62, 5074
98000, 74, 5171
100000, 73, 5125
102000, 66, 5024
104000, 63, 5013
106000, 70, 5009
108000, 71, 5102
110000, 68, 5002
112000, 75, 5134
114000, 77, 5097
116000, 68, 5177
118000, 79, 5010
120000, 61, 5054
122000, 61, 5052
124000, 61, 5148
126000, 66, 5179
128000, 68, 5097
130000, 60, 5095
132000, 61, 5015
134000, 66, 5115
136000, 68, 5148
138000, 77, 5041
140000, 76, 5136
142000, 69, 5104
144000, 70, 5082
146000, 79, 5041
148000, 65, 5054
150000, 71, 5193
152000, 70, 5149
154000, 77, 5063
156000, 74, 5061
158000, 66, 5146
160000, 68, 5084
162000, 77, 5139
164000, 70, 5086
166000, 75, 5131
168000, 60, 5136
170000, 78, 5074
172000, 79, 5059
174000, 61, 5198
176000, 76, 5199
178000, 78, 5016
180000, 66, 5154
182000, 65, 5170
184000, 66, 5047
186000, 62, 5020
188000, 74, 5145
190000, 60, 5112
192000, 60, 5017
194000, 63, 5007
196000, 69, 5134
198000, 68, 5054
200000, 73, 5141
202000, 78, 5122
204000, 74, 5115
206000, 63, 5002
208000, 64, 5129
210000, 66, 5130
212000, 75, 5080
214000, 69, 5003
216000, 75, 5136
218000, 69, 5183
220000, 70, 5110
222000, 66, 5002
224000, 67, 5041
226000, 69, 5150
228000, 66, 5182
230000, 71, 5109
232000, 60, 5000
234000, 60, 5046
236000, 78, 5139
238000, 62, 5147
240000, 66, 5075
242000, 78, 5106
244000, 75, 5061
246000, 72, 5126
248000, 67, 5015
250000, 69, 5020
252000, 77, 5004
254000, 77, 5137
256000, 60, 5050
258000, 61, 5157
260000, 73, 5190
262000, 69, 5080
264000, 79, 5064
266000, 61, 5128
268000, 65, 5055
270000, 71, 5074
272000, 76, 5022
274000, 72, 5183
276000, 62, 5103
278000, 66, 5027
280000, 77, 5107
282000, 74, 5089
284000, 68, 5074
286000, 71, 5004
288000, 60, 5143
290000, 71, 5092
292000, 73, 5016
294000, 78, 5014
296000, 64, 5052
298000, 61, 5016
300000, 78, 5118
302000, 68, 5139
304000, 60, 5099
306000, 77, 5146
308000, 66, 5178
310000, 69, 5119
312000, 71, 5190
314000, 79, 5069
316000, 74, 5062
318000, 77, 5053
320000, 74, 5126
322000, 65, 5112
324000, 78, 5151
326000, 75, 5147
328000, 69, 5187
330000, 74, 5196
332000, 62, 5137
334000, 63, 5099
336000, 78, 5000
338000, 71, 5027
340000, 73, 5011
342000, 60, 5026
344000, 64, 5068
346000, 68, 5065
348000, 66, 5033
350000, 62, 5165
352000, 63, 5072
354000, 66, 5006
356000, 62, 5015
358000, 67, 5076
360000, 64, 5174
362000, 60, 5186
364000, 76, 5183
366000, 61, 5128
368000, 71, 5067
370000, 62, 5016
372000, 73, 5015
374000, 60, 5197
376000, 67, 5092
378000, 62, 5116
380000, 70, 5046
382000, 67, 5025
384000, 78, 5074
386000, 68, 5068
388000, 61, 5081
390000, 64, 5005
392000, 69, 5038
394000, 65, 5095
396000, 64, 5151
398000, 73, 5147
400000, 67, 5048
402000, 68, 5134
404000, 77, 5085
406000, 73, 5079
408000, 70, 5077
410000, 79, 5079
412000, 68, 5153
414000, 77, 5047
416000, 76, 5040
418000, 75, 5100
420000, 60, 5130
422000, 69, 5002
424000, 78, 5093
426000, 66, 5182
428000, 74, 5136
430000, 65, 5065
432000, 71, 5026
434000, 61, 5027
436000, 77, 5180
438000, 75, 5055
440000, 68, 5138
442000, 74, 5032
444000, 70, 5145
446000, 68, 5189
448000, 76, 5123
450000, 64, 5169
452000, 70, 5149
454000, 64, 5155
456000, 77, 5109
458000, 78, 5186
460000, 67, 5088
462000, 78, 5146
464000, 74, 5157
466000, 60, 5044
468000, 61, 5124
470000, 78, 5069
472000, 76, 5056
474000, 74, 5172
476000, 79, 5104
478000, 65, 5179
480000, 72, 5040
482000, 60, 5044
484000, 77, 5030
486000, 73, 5033
488000, 70, 5022
490000, 68, 5125
492000, 61, 5065
494000, 73, 5012
496000, 77, 5047
498000, 75, 5094
500000, 72, 5170
502000, 61, 5162
504000, 79, 5062
506000, 78, 5037
508000, 64, 5129
510000, 64, 5177
512000, 64, 5113
514000, 68, 5005
516000, 71, 5187
518000, 73, 5167
520000, 79, 5174
522000, 72, 5087
524000, 70, 5107
526000, 78, 5081
528000, 60, 5005
530000, 64, 5155
532000, 65, 5150
534000, 65, 5021
536000, 67, 5091
538000, 74, 5097
540000, 61, 5056
542000, 71, 5128
544000, 74, 5137
546000, 79, 5085
548000, 74, 5184
550000, 60, 5052
552000, 75, 5153
554000, 77, 5093
556000, 77, 5197
558000, 70, 5143
560000, 65, 5170
562000, 72, 5051
564000, 73, 5094
566000, 60, 5192
568000, 72, 5111
570000, 60, 5021
572000, 71, 5196
574000, 64, 5070
576000, 70, 5125
578000, 63, 5151
580000, 76, 5167
582000, 64, 5129
584000, 66, 5014
586000, 71, 5130
588000, 79, 5059
590000, 79, 5113
592000, 70, 5103
594000, 70, 5110
596000, 72, 5039
598000, 60, 5105
600000, 69, 5100
602000, 72, 5124
604000, 69, 5028
