PH, moisture
82000, 66, 5146
84000, 69, 5036
86000, 63, 5154
88000, 65, 5070
90000, 63, 5046
92000, 62, 5160
94000, 70, 5151
96000, 71, 5161
98000, 64, 5168
100000, 72, 5008
102000, 68, 5180
104000, 64, 5042
106000, 73, 5100
108000, 61, 5094
110000, 71, 5040
112000, 71, 5077
114000, 66, 5197
116000, 60, 5137
118000, 67, 5058
120000, 75, 5114
122000, 78, 5061
124000, 76, 5191
126000, 77, 5123
128000, 60, 5118
130000, 67, 5159
132000, 79, 5111
134000, 74, 5126
136000, 75, 5063
138000, 69, 5145
140000, 75, 5111
142000, 75, 5029
144000, 61, 5005
146000, 65, 5187
148000, 68, 5126
150000, 73, 5156
152000, 62, 5095
154000, 74, 5013
156000, 68, 5089
158000, 72, 5173
160000, 66, 5165
162000, 72, 5112
164000, 75, 5052
166000, 74, 5179
168000, 62, 5086
170000, 63, 5028
172000, 68, 5031
174000, 64, 5046
176000, 67, 5050
178000, 72, 5065
180000, 70, 5086
182000, 79, 5150
184000, 75, 5076
186000, 76, 5094
188000, 60, 5095
190000, 62, 5123
192000, 63, 5096
194000, 66, 5063
196000, 63, 5036
198000, 61, 5105
200000, 77, 5066
202000, 76, 5138
204000, 62, 5104
206000, 64, 5065
208000, 73, 5067
210000, 61, 5094
212000, 60, 5150
214000, 74, 5018
216000, 73, 5180
218000, 71, 5058
220000, 77, 5125
222000, 60, 5173
224000, 72, 5192
226000, 75, 5030
228000, 60, 5008
230000, 73, 5036
232000, 60, 5040
234000, 77, 5083
236000, 62, 5001
238000, 79, 5095
240000, 66, 5080
242000, 66, 5031
244000, 62, 5098
246000, 62, 5058
248000, 73, 5198
250000, 64, 5090
252000, 77, 5104
254000, 62, 5118
256000, 79, 5140
258000, 61, 5000
260000, 69, 5147
262000, 65, 5177
264000, 62, 5014
266000, 65, 5044
268000, 75, 5147
270000, 72, 5084
272000, 67, 5079
274000, 67, 5142
276000, 79, 5193
278000, 77, 5182
280000, 60, 5195
282000, 74, 5085
284000, 70, 5029
286000, 78, 5004
288000, 74, 5119
290000, 70, 5055
292000, 60, 5138
294000, 76, 5000
296000, 65, 5146
298000, 77, 5183
300000, 68, 5059
302000, 62, 5033
304000, 68, 5032
306000, 66, 5102
308000, 74, 5053
310000, 78, 5188
312000, 66, 5145
314000, 71, 5081
316000, 76, 5107
318000, 76, 5120
320000, 78, 5044
322000, 77, 5031
324000, 78, 5128
326000, 60, 5175
328000, 65, 5048
330000, 60, 5124
332000, 74, 5057
334000, 62, 5164
336000, 74, 5143
338000, 77, 5127
340000, 62, 5073
342000, 68, 5136
344000, 77, 5039
346000, 65, 5146
348000, 74, 5147
350000, 72, 5149
352000, 74, 5183
354000, 66, 5160
356000, 75, 5135
358000, 60, 5021
360000, 63, 5192
362000, 72, 5169
364000, 68, 5123
366000, 61, 5133
368000, 76, 5064
370000, 76, 5087
372000, 79, 5194
374000, 69, 5179
376000, 73, 5128
378000, 68, 5045
380000, 79, 5019
382000, 63, 5091
384000, 74, 5083
386000, 66, 5044
388000, 69, 5093
390000, 77, 5153
392000, 61, 5183
394000, 63, 5071
396000, 69, 5140
398000, 74, 5041
400000, 73, 5048
402000, 79, 5065
404000, 79, 5057
406000, 73, 5135
408000, 64, 5055
410000, 66, 5182
412000, 75, 5187
414000, 68, 5165
416000, 77, 5096
418000, 69, 5111
420000, 61, 5165
422000, 77, 5099
424000, 68, 5071
426000, 74, 5008
428000, 70, 5020
430000, 63, 5099
432000, 63, 5183
434000, 76, 5127
436000, 76, 5118
438000, 75, 5124
440000, 61, 5041
442000, 78, 5075
444000, 79, 5148
446000, 72, 5111
448000, 78, 5066
450000, 75, 5093
452000, 61, 5178
454000, 68, 5107
456000, 76, 5199
458000, 77, 5087
460000, 73, 5125
462000, 77, 5128
464000, 72, 5105
466000, 79, 5132
468000, 78, 5189
470000, 61, 5123
472000, 74, 5122
474000, 77, 5106
476000, 61, 5139
478000, 72, 5119
480000, 68, 5185
482000, 70, 5114
484000, 77, 5110
486000, 62, 5181
488000, 66, 5011
490000, 77, 5199
492000, 63, 5020
494000, 65, 5179
496000, 66, 5094
498000, 72, 5197
500000, 78, 5162
502000, 79, 5119
504000, 78, 5179
506000, 60, 5195
508000, 65, 5093
510000, 63, 5149
512000, 60, 5092
514000, 60, 5090
516000, 73, 5156
518000, 73, 5173
520000, 74, 5143
522000, 69, 5036
524000, 70, 5060
526000, 71, 5135
528000, 73, 5149
530000, 76, 5020
532000, 69, 5019
534000, 65, 5100
536000, 71, 5178
538000, 72, 5198
540000, 71, 5030
542000, 79, 5026
544000, 74, 5192
546000, 72, 5071
548000, 70, 5146
550000, 78, 5165
552000, 65, 5135
554000, 70, 5102
556000, 64, 5013
558000, 70, 5075
560000, 76, 5118
562000, 76, 5067
564000, 69, 5105
566000, 74, 5063
568000, 63, 5121
570000, 61, 5188
572000, 64, 5057
574000, 62, 5069
576000, 75, 5024
578000, 67, 5041
580000, 65, 5092
582000, 60, 5153
584000, 69, 5176
586000, 71, 5025
588000, 73, 5030
590000, 76, 5075
592000, 69, 5186
594000, 78, 5102
596000, 70, 5161
598000, 69, 5071
600000, 70, 5124
602000, 79, 5105
604000, 69, 5191
606000, 68, 5128
608000, 72, 5030
610000, 60, 5177
612000, 60, 5048
614000, 79, 5081
616000, 69, 5109
618000, 61, 5105
620000, 68, 5034
622000, 69, 5082
624000, 66, 5046
626000, 72, 5133
628000, 73, 5079
630000, 64, 5194
632000, 61, 5169
634000, 70, 5070
636000, 75, 5087
638000, 76, 5031
640000, 67, 5185
642000, 67, 5154
644000, 75, 5167
646000, 69, 5047
648000, 71, 5033
650000, 66, 5033
652000, 75, 5032
654000, 66, 5069
656000, 67, 5023
658000, 73, 5131
660000, 74, 5070
662000, 79, 5155
664000, 71, 5004
666000, 65, 5069
668000, 69, 5185
670000, 73, 5004
672000, 78, 5155
674000, 67, 5173
676000, 69, 5149
678000, 73, 5151
680000, 70, 5086
682000, 62, 5185
684000, 70, 5060
686000, 68, 5112
688000, 72, 5131
690000, 71, 5163
692000, 72, 5047
694000, 73, 5094
696000, 76, 5146
698000, 65, 5097
700000, 74, 5177
702000, 71, 5071
704000, 62, 5023
706000, 71, 5118
708000, 70, 5098
710000, 62, 5178
712000, 76, 5132
714000, 76, 5098
716000, 62, 5101
718000, 79, 5188
720000, 77, 5066
722000, 63, 5107
724000, 75, 5069
726000, 71, 5044
728000, 61, 5008
730000, 70, 5105
732000, 72, 5151
734000, 74, 5116
736000, 77, 5169
738000, 76, 5160
740000, 76, 5091
742000, 71, 5086
744000, 79, 5125
746000, 72, 5091
748000, 60, 5122
750000, 68, 5158
752000, 65, 5181
754000, 73, 5096
756000, 73, 5182
758000, 64, 5029
760000, 75, 5066
762000, 64, 5045
764000, 71, 5038
766000, 70, 5067
768000, 61, 5029
770000, 75, 5092
772000, 61, 5172
774000, 69, 5186
776000, 78, 5094
778000, 65, 5109
780000, 68, 5103
782000, 78, 5122
784000, 60, 5180
786000, 74, 5105
788000, 64, 5047
790000, 64, 5116
792000, 65, 5024
794000, 66, 5077
796000, 73, 5055
798000, 68, 5194
800000, 75, 5093
802000, 67, 5153
804000, 68, 5194
806000, 60, 5160
808000, 77, 5186
810000, 78, 5177
812000, 73, 5027
814000, 60, 5068
816000, 65, 5037
818000, 67, 5027
820000, 73, 5172
822000, 64, 5107
824000, 78, 5103
826000, 79, 5123
828000, 71, 5147
830000, 61, 5093
832000, 70, 5101
834000, 65, 5197
836000, 69, 5131
838000, 66, 5149
840000, 65, 5130
842000, 77, 5020
844000, 70, 5146
846000, 72, 5068
848000, 74, 5118
850000, 75, 5170
852000, 68, 5039
854000, 63, 5066
856000, 75, 5097
858000, 71, 5117
860000, 72, 5199
862000, 73, 5196
864000, 61, 5116
866000, 79, 5041
868000, 79, 5013
870000, 60, 5168
872000, 75, 5158
874000, 76, 5190
876000, 64, 5152
878000, 68, 5081
880000, 60, 5069
882000, 65, 5172
884000, 76, 5006
886000, 64, 5081
888000, 79, 5080
890000, 68, 5093
892000, 72, 5052
894000, 67, 5145
896000, 70, 5069
898000, 75, 5089
900000, 79, 5063
902000, 65, 5003
904000, 71, 5194
906000, 76, 5124
908000, 76, 5103
910000, 62, 5107
912000, 66, 5012
914000, 66, 5173
916000, 78, 5130
918000, 64, 5040
920000, 61, 5154
922000, 79, 5048
924000, 69, 5143
926000, 61, 5141
928000, 60, 5016
930000, 68, 5062
932000, 68, 5000
934000, 72, 5029
936000, 73, 5068
938000, 67, 5152
940000, 62, 5142
942000, 71, 5094
944000, 72, 5025
946000, 68, 5083
948000, 61, 5170
950000, 65, 5090
952000, 69, 5095
954000, 64, 5188
956000, 72, 5189
958000, 73, 5131
960000, 64, 5067
962000, 75, 5097
964000, 66, 5083
966000, 78, 5028
968000, 73, 5082
970000, 76, 5081
972000, 62, 5021
974000, 67, 5147
976000, 75, 5175
978000, 63, 5128
980000, 63, 5194
982000, 75, 5046
984000, 60, 5053
986000, 75, 5041
988000, 71, 5095
990000, 65, 5039
992000, 73, 5168
994000, 77, 5062
996000, 70, 5120
998000, 72, 5014
1000000, 68, 5050
1002000, 69, 5087
1004000, 60, 5031
1006000, 77, 5019
1008000, 70, 5073
1010000, 77, 5028
1012000, 63, 5133
1014000, 74, 5056
1016000, 62, 5173
1018000, 71, 5125
1020000, 73, 5155
1022000, 61, 5199
1024000, 78, 5122
1026000, 68, 5062
1028000, 61, 5052
1030000, 71, 5161
1032000, 73, 5017
1034000, 71, 5133
1036000, 68, 5074
1038000, 66, 5004
1040000, 78, 5112
1042000, 64, 5174
1044000, 78, 5132
1046000, 71, 5128
1048000, 68, 5124
1050000, 63, 5018
1052000, 62, 5062
1054000, 78, 5057
1056000, 77, 5034
1058000, 73, 5089
1060000, 64, 5120
1062000, 77, 5028
1064000, 69, 5054
1066000, 69, 5085
1068000, 78, 5125
1070000, 62, 5133
1072000, 72, 5151
1074000, 64, 5173
1076000, 74, 5053
1078000, 73, 5187
1080000, 62, 5149
1082000, 77, 5080
1084000, 65, 5041
1086000, 66, 5170
1088000, 74, 5177
1090000, 61, 5163
1092000, 63, 5069
1094000, 76, 5000
1096000, 70, 5176
1098000, 79, 5157
1100000, 77, 5007
1102000, 71, 5194
1104000, 76, 5126
1106000, 72, 5187
1108000, 64, 5071
1110000, 79, 5048
1112000, 64, 5187
1114000, 71, 5124
1116000, 63, 5145
1118000, 73, 5175
1120000, 76, 5180
1122000, 71, 5054
1124000, 75, 5088
1126000, 68, 5064
1128000, 60, 5007
1130000, 69, 5138
1132000, 70, 5123
1134000, 72, 5124
1136000, 61, 5040
1138000, 74, 5082
1140000, 79, 5003
1142000, 64, 5089
1144000, 73, 5199
1146000, 74, 5038
1148000, 68, 5001
1150000, 70, 5112
1152000, 72, 5140
1154000, 76, 5164
1156000, 64, 5134
1158000, 73, 5188
1160000, 71, 5125
1162000, 67, 5134
1164000, 72, 5071
1166000, 68, 5163
1168000, 65, 5107
1170000, 62, 5081
1172000, 75, 5002
1174000, 64, 5068
1176000, 78, 5030
1178000, 60, 5073
1180000, 71, 5094
1182000, 75, 5196
1184000, 67, 5194
1186000, 69, 5164
1188000, 63, 5096
1190000, 68, 5150
1192000, 76, 5138
1194000, 79, 5197
1196000, 63, 5081
1198000, 67, 5085
1200000, 73, 5010
1202000, 78, 5071
1204000, 67, 5046
1206000, 66, 5042
1208000, 70, 5073
1210000, 77, 5172
1212000, 64, 5100
1214000, 71, 5177
1216000, 77, 5018
1218000, 62, 5121
1220000, 78, 5090
1222000, 72, 5058
1224000, 74, 5131
1226000, 68, 5129
1228000, 67, 5048
1230000, 77, 5184
1232000, 65, 5036
1234000, 79, 5070
1236000, 67, 5154
1238000, 61, 5075
1240000, 61, 5076
1242000, 72, 5147
1244000, 74, 5181
1246000, 67, 5101
1248000, 71, 5166
1250000, 76, 5064
1252000, 67, 5016
1254000, 75, 5151
1256000, 75, 5185
1258000, 68, 5036
1260000, 76, 5146
1262000, 79, 5016
1264000, 76, 5116
1266000, 64, 5029
1268000, 67, 5121
1270000, 70, 5190
1272000, 65, 5148
1274000, 76, 5178
1276000, 60, 5168
1278000, 75, 5198
1280000, 72, 5064
1282000, 69, 5155
1284000, 67, 5060
1286000, 71, 5090
1288000, 75, 5081
1290000, 71, 5113
1292000, 69, 5150
1294000, 79, 5152
1296000, 68, 5002
1298000, 65, 5167
1300000, 71, 5170
1302000, 67, 5159
1304000, 62, 5000
1306000, 64, 5076
1308000, 60, 5097
1310000, 76, 5091
1312000, 60, 5141
1314000, 74, 5181
1316000, 76, 5178
1318000, 71, 5064
1320000, 68, 5058
1322000, 73, 5176
1324000, 69, 5023
1326000, 73, 5023
1328000, 62, 5079
1330000, 67, 5050
1332000, 66, 5065
1334000, 63, 5116
1336000, 70, 5154
1338000, 63, 5091
1340000, 71, 5197
1342000, 70, 5161
1344000, 72, 5080
1346000, 75, 5095
1348000, 66, 5026
1350000, 62, 5076
1352000, 79, 5037
1354000, 72, 5020
1356000, 62, 5026
1358000, 79, 5146
1360000, 62, 5124
1362000, 69, 5170
1364000, 60, 5190
1366000, 64, 5136
1368000, 70, 5082
1370000, 66, 5172
1372000, 77, 5133
1374000, 75, 5053
1376000, 66, 5179
1378000, 71, 5099
1380000, 69, 5050
1382000, 62, 5036
1384000, 66, 5158
1386000, 77, 5111
1388000, 67, 5121
1390000, 72, 5193
1392000, 76, 5175
1394000, 75, 5158
1396000, 64, 5187
1398000, 66, 5024
1400000, 67, 5179
1402000, 63, 5011
1404000, 76, 5199
1406000, 76, 5059
1408000, 61, 5102
1410000, 73, 5093
1412000, 63, 5165
1414000, 75, 5076
1416000, 61, 5197
1418000, 64, 5104
1420000, 74, 5071
1422000, 79, 5143
1424000, 69, 5047
1426000, 75, 5186
1428000, 62, 5196
1430000, 68, 5146
1432000, 65, 5132
1434000, 61, 5134
1436000, 68, 5178
1438000, 65, 5196
1440000, 61, 5156
1442000, 75, 5187
1444000, 62, 5138
1446000, 75, 5017
1448000, 74, 5109
1450000, 66, 5084
1452000, 66, 5197
1454000, 63, 5123
1456000, 76, 5005
1458000, 61, 5171
1460000, 78, 5025
1462000, 67, 5168
1464000, 60, 5040
1466000, 66, 5156
1468000, 77, 5132
1470000, 67, 5046
1472000, 69, 5153
1474000, 62, 5183
1476000, 66, 5174
1478000, 61, 5099
1480000, 79, 5199
1482000, 78, 5183
1484000, 64, 5088
1486000, 60, 5160
1488000, 71, 5055
1490000, 65, 5084
1492000, 69, 5057
1494000, 66, 5055
1496000, 65, 5106
1498000, 64, 5094
1500000, 61, 5086
1502000, 73, 5149
1504000, 60, 5031
1506000, 64, 5185
1508000, 61, 5118
1510000, 67, 5071
1512000, 60, 5109
1514000, 70, 5143
1516000, 73, 5124
1518000, 79, 5158
1520000, 70, 5009
1522000, 73, 5050
1524000, 73, 5118
1526000, 65, 5129
1528000, 67, 5136
1530000, 75, 5013
1532000, 61, 5148
1534000, 76, 5034
1536000, 79, 5060
1538000, 72, 5148
1540000, 60, 5041
1542000, 68, 5185
1544000, 63, 5145
1546000, 78, 5046
1548000, 73, 5026
1550000, 60, 5000
1552000, 77, 5166
1554000, 62, 5059
1556000, 79, 5057
1558000, 76, 5195
1560000, 69, 5086
1562000, 67, 5092
1564000, 78, 5101
1566000, 71, 5001
1568000, 67, 5065
1570000, 66, 5120
1572000, 64, 5124
1574000, 79, 5165
1576000, 72, 5137
1578000, 76, 5121
1580000, 60, 5165
1582000, 66, 5197
1584000, 69, 5012
1586000, 77, 5028
1588000, 67, 5074
1590000, 66, 5142
1592000, 73, 5112
1594000, 71, 5076
1596000, 60, 5073
1598000, 67, 5135
1600000, 65, 5005
1602000, 60, 5115
