PH, moisture
82000, 73, 5125
84000, 77, 5136
86000, 71, 5079
88000, 68, 5083
90000, 74, 5042
92000, 68, 5120
94000, 66, 5011
96000, 77, 5116
98000, 60, 5150
100000, 67, 5019
102000, 63, 5017
104000, 62, 5117
106000, 61, 5180
108000, 65, 5066
110000, 74, 5099
112000, 72, 5033
114000, 68, 5015
116000, 76, 5093
118000, 74, 5160
120000, 79, 5180
122000, 60, 5105
124000, 67, 5041
126000, 74, 5088
128000, 67, 5144
130000, 67, 5193
132000, 65, 5168
134000, 73, 5027
136000, 63, 5057
138000, 76, 5011
140000, 62, 5093
142000, 73, 5173
144000, 76, 5094
146000, 75, 5177
148000, 60, 5018
150000, 79, 5128
152000, 73, 5107
154000, 70, 5182
156000, 67, 5183
158000, 60, 5173
160000, 64, 5084
162000, 69, 5076
164000, 72, 5081
166000, 78, 5051
168000, 61, 5073
170000, 72, 5031
172000, 65, 5187
174000, 65, 5082
176000, 63, 5188
178000, 70, 5155
180000, 72, 5148
182000, 60, 5053
184000, 79, 5166
186000, 65, 5047
188000, 62, 5140
190000, 69, 5059
192000, 67, 5097
194000, 76, 5140
196000, 65, 5057
198000, 64, 5188
200000, 79, 5049
202000, 75, 5036
204000, 61, 5147
206000, 71, 5052
208000, 73, 5044
210000, 79, 5124
212000, 77, 5050
214000, 67, 5029
216000, 76, 5037
218000, 78, 5114
220000, 75, 5143
222000, 61, 5008
224000, 60, 5173
226000, 62, 5198
228000, 72, 5057
230000, 77, 5157
232000, 61, 5124
234000, 66, 5061
236000, 67, 5180
238000, 63, 5186
240000, 67, 5098
242000, 61, 5009
244000, 67, 5163
246000, 73, 5139
248000, 73, 5174
250000, 63, 5052
252000, 62, 5183
254000, 77, 5152
256000, 79, 5192
258000, 73, 5042
260000, 65, 5148
262000, 75, 5107
264000, 76, 5030
266000, 76, 5150
268000, 72, 5101
270000, 60, 5001
272000, 68, 5048
274000, 74, 5196
276000, 67, 5035
278000, 79, 5140
280000, 64, 5188
282000, 70, 5179
284000, 66, 5127
286000, 65, 5096
288000, 60, 5002
290000, 66, 5038
292000, 77, 5158
294000, 74, 5120
296000, 76, 5067
298000, 69, 5124
300000, 71, 5155
302000, 70, 5019
304000, 62, 5170
306000, 77, 5165
308000, 64, 5004
310000, 65, 5014
312000, 67, 5125
314000, 64, 5000
316000, 61, 5127
318000, 61, 5009
320000, 68, 5162
322000, 74, 5093
324000, 62, 5124
326000, 75, 5188
328000, 69, 5172
330000, 72, 5128
332000, 61, 5113
334000, 67, 5103
336000, 64, 5096
338000, 62, 5182
340000, 69, 5052
342000, 79, 5072
344000, 61, 5164
346000, 72, 5181
348000, 70, 5160
350000, 73, 5117
352000, 78, 5010
354000, 70, 5016
356000, 67, 5059
358000, 65, 5143
360000, 79, 5147
362000, 76, 5117
364000, 72, 5187
366000, 64, 5191
368000, 79, 5176
370000, 71, 5112
372000, 73, 5045
374000, 66, 5070
376000, 68, 5126
378000, 71, 5137
380000, 71, 5189
382000, 61, 5062
384000, 70, 5130
386000, 61, 5188
388000, 77, 5145
390000, 67, 5064
392000, 70, 5049
394000, 60, 5100
396000, 65, 5005
398000, 79, 5064
400000, 63, 5192
402000, 70, 5035
404000, 61, 5120
406000, 62, 5012
408000, 61, 5121
410000, 76, 5044
412000, 75, 5034
414000, 67, 5152
416000, 77, 5070
418000, 61, 5056
420000, 69, 5146
422000, 65, 5170
424000, 76, 5120
426000, 66, 5036
428000, 78, 5116
430000, 65, 5026
432000, 62, 5142
434000, 66, 5074
436000, 77, 5059
438000, 61, 5083
440000, 76, 5071
442000, 73, 5080
444000, 75, 5124
446000, 62, 5001
448000, 78, 5067
450000, 70, 5176
452000, 72, 5198
454000, 70, 5185
456000, 73, 5157
458000, 69, 5075
460000, 79, 5145
462000, 65, 5153
464000, 78, 5059
466000, 66, 5097
468000, 78, 5198
470000, 69, 5075
472000, 63, 5193
474000, 67, 5121
476000, 68, 5083
478000, 66, 5101
480000, 68, 5139
482000, 69, 5184
484000, 79, 5092
486000, 68, 5154
488000, 69, 5058
490000, 66, 5008
492000, 65, 5103
494000, 67, 5067
496000, 64, 5080
498000, 62, 5187
500000, 63, 5185
502000, 75, 5037
504000, 64, 5152
506000, 72, 5176
508000, 67, 5108
510000, 68, 5008
512000, 79, 5083
514000, 67, 5150
516000, 60, 5141
518000, 62, 5164
520000, 79, 5118
522000, 74, 5156
524000, 71, 5022
526000, 64, 5045
528000, 69, 5118
530000, 65, 5023
532000, 62, 5197
534000, 71, 5119
536000, 74, 5121
538000, 62, 5090
540000, 70, 5094
542000, 74, 5056
544000, 60, 5057
546000, 79, 5076
548000, 78, 5008
550000, 67, 5055
552000, 70, 5188
554000, 68, 5156
556000, 63, 5074
558000, 79, 5195
560000, 65, 5181
562000, 64, 5099
564000, 76, 5002
566000, 78, 5129
568000, 64, 5077
570000, 72, 5055
572000, 70, 5126
574000, 72, 5082
576000, 73, 5075
