PH, moisture
82000, 61, 5124
84000, 60, 5061
86000, 60, 5053
88000, 70, 5010
90000, 63, 5094
92000, 71, 5090
94000, 62, 5190
96000, 68, 5150
98000, 76, 5197
100000, 69, 5095
102000, 72, 5155
104000, 71, 5160
106000, 63, 5113
108000, 79, 5057
110000, 76, 5168
112000, 61, 5103
114000, 79, 5068
116000, 77, 5126
118000, 74, 5081
120000, 61, 5019
122000, 73, 5090
124000, 79, 5140
126000, 71, 5179
128000, 71, 5003
130000, 65, 5140
132000, 76, 5164
134000, 67, 5122
136000, 69, 5005
138000, 61, 5177
140000, 64, 5134
142000, 70, 5189
144000, 75, 5015
146000, 76, 5074
148000, 71, 5087
150000, 62, 5012
152000, 60, 5185
154000, 69, 5105
156000, 66, 5073
158000, 60, 5121
160000, 61, 5028
162000, 60, 5091
164000, 69, 5149
166000, 70, 5097
168000, 77, 5060
170000, 63, 5083
172000, 60, 5158
174000, 69, 5173
176000, 60, 5128
178000, 70, 5092
180000, 70, 5089
182000, 68, 5150
184000, 70, 5072
186000, 68, 5054
188000, 78, 5079
190000, 63, 5088
192000, 73, 5049
194000, 63, 5162
196000, 63, 5037
198000, 68, 5158
200000, 68, 5069
202000, 61, 5043
204000, 76, 5095
206000, 72, 5136
208000, 68, 5189
210000, 73, 5169
212000, 65, 5148
214000, 64, 5152
216000, 74, 5122
218000, 70, 5122
220000, 64, 5053
222000, 79, 5085
224000, 75, 5033
226000, 79, 5042
228000, 70, 5144
230000, 79, 5108
232000, 62, 5044
234000, 79, 5078
236000, 66, 5000
238000, 66, 5153
240000, 64, 5112
242000, 69, 5020
244000, 61, 5043
246000, 71, 5166
248000, 60, 5039
250000, 68, 5185
252000, 60, 5184
254000, 63, 5100
256000, 67, 5166
258000, 69, 5069
260000, 62, 5092
262000, 79, 5149
264000, 66, 5082
266000, 78, 5172
268000, 63, 5125
270000, 69, 5143
272000, 77, 5177
274000, 78, 5163
276000, 62, 5141
278000, 69, 5001
280000, 66, 5002
282000, 79, 5020
284000, 75, 5104
286000, 63, 5082
288000, 71, 5158
290000, 77, 5052
292000, 62, 5068
294000, 69, 5079
296000, 62, 5190
298000, 60, 5110
300000, 71, 5196
302000, 73, 5070
304000, 61, 5026
306000, 73, 5034
308000, 65, 5161
310000, 61, 5095
312000, 60, 5060
314000, 72, 5191
316000, 77, 5036
318000, 72, 5044
320000, 72, 5188
322000, 71, 5061
324000, 77, 5100
326000, 65, 5127
328000, 64, 5159
330000, 73, 5162
332000, 64, 5195
334000, 75, 5157
336000, 69, 5010
338000, 75, 5172
340000, 75, 5009
342000, 72, 5050
344000, 78, 5092
346000, 79, 5099
348000, 70, 5100
350000, 78, 5134
352000, 72, 5197
354000, 78, 5190
356000, 67, 5030
358000, 62, 5058
360000, 71, 5159
362000, 60, 5106
364000, 68, 5133
366000, 68, 5073
368000, 66, 5137
370000, 70, 5037
372000, 76, 5083
374000, 68, 5019
376000, 64, 5195
378000, 67, 5028
380000, 66, 5063
382000, 72, 5197
384000, 79, 5082
386000, 79, 5010
388000, 70, 5045
390000, 62, 5184
392000, 71, 5099
394000, 71, 5114
396000, 77, 5069
398000, 75, 5055
400000, 65, 5181
402000, 71, 5028
404000, 68, 5040
406000, 72, 5187
408000, 74, 5092
410000, 72, 5076
412000, 69, 5039
414000, 78, 5081
416000, 76, 5184
418000, 78, 5155
420000, 71, 5151
422000, 72, 5182
424000, 69, 5017
426000, 76, 5123
428000, 69, 5123
430000, 69, 5199
432000, 73, 5062
434000, 64, 5068
436000, 74, 5193
438000, 71, 5083
440000, 69, 5044
442000, 69, 5057
444000, 72, 5104
446000, 79, 5015
448000, 67, 5096
450000, 78, 5040
452000, 73, 5071
454000, 73, 5128
456000, 67, 5127
458000, 65, 5072
460000, 66, 5062
462000, 64, 5093
464000, 71, 5048
466000, 60, 5133
468000, 60, 5050
470000, 60, 5016
472000, 70, 5192
474000, 63, 5010
476000, 77, 5118
478000, 60, 5099
480000, 67, 5040
482000, 62, 5051
484000, 60, 5014
486000, 79, 5119
488000, 62, 5127
490000, 70, 5160
492000, 65, 5177
494000, 60, 5075
496000, 68, 5112
498000, 70, 5100
500000, 69, 5087
502000, 62, 5051
504000, 65, 5174
506000, 70, 5115
508000, 69, 5082
510000, 70, 5007
512000, 62, 5136
514000, 61, 5086
516000, 75, 5089
518000, 67, 5172
520000, 63, 5008
522000, 76, 5197
524000, 61, 5040
526000, 72, 5177
528000, 70, 5109
530000, 76, 5115
532000, 74, 5123
534000, 70, 5100
536000, 65, 5105
538000, 66, 5139
540000, 72, 5058
542000, 65, 5196
544000, 62, 5140
546000, 76, 5036
548000, 64, 5131
550000, 74, 5175
552000, 66, 5163
554000, 70, 5054
556000, 72, 5171
558000, 73, 5136
560000, 68, 5114
562000, 73, 5039
564000, 66, 5183
566000, 66, 5115
568000, 71, 5100
570000, 68, 5019
572000, 74, 5140
574000, 76, 5169
576000, 61, 5053
578000, 79, 5113
580000, 70, 5148
582000, 66, 5008
584000, 74, 5083
586000, 63, 5037
588000, 73, 5154
590000, 66, 5101
592000, 71, 5067
594000, 60, 5098
596000, 74, 5099
598000, 61, 5086
600000, 68, 5154
602000, 78, 5169
604000, 79, 5192
606000, 65, 5150
608000, 74, 5005
610000, 73, 5180
612000, 60, 5054
614000, 67, 5094
616000, 68, 5140
618000, 66, 5008
620000, 72, 5053
622000, 64, 5096
624000, 71, 5124
626000, 76, 5159
628000, 75, 5054
630000, 76, 5013
632000, 70, 5085
634000, 79, 5002
636000, 62, 5078
638000, 63, 5185
640000, 75, 5073
642000, 69, 5178
644000, 69, 5189
646000, 72, 5094
648000, 65, 5170
650000, 78, 5052
652000, 78, 5000
654000, 61, 5082
656000, 76, 5036
658000, 79, 5096
660000, 66, 5086
662000, 79, 5160
664000, 73, 5193
666000, 66, 5047
668000, 64, 5013
670000, 61, 5128
672000, 68, 5129
674000, 70, 5153
676000, 77, 5066
678000, 60, 5083
680000, 60, 5164
682000, 66, 5022
684000, 64, 5176
686000, 78, 5181
688000, 68, 5012
690000, 75, 5128
692000, 76, 5124
694000, 71, 5044
696000, 76, 5164
698000, 74, 5113
700000, 68, 5044
702000, 70, 5144
704000, 75, 5047
706000, 64, 5025
708000, 63, 5141
710000, 73, 5079
712000, 61, 5001
714000, 74, 5092
716000, 76, 5048
718000, 76, 5105
720000, 61, 5051
722000, 73, 5095
724000, 76, 5130
726000, 72, 5018
728000, 74, 5133
730000, 64, 5100
732000, 74, 5005
734000, 77, 5026
736000, 65, 5096
738000, 76, 5160
740000, 61, 5111
742000, 79, 5097
744000, 69, 5173
746000, 61, 5068
748000, 61, 5000
750000, 60, 5176
752000, 60, 5179
754000, 70, 5007
756000, 74, 5111
758000, 74, 5068
760000, 60, 5093
762000, 69, 5193
764000, 68, 5042
766000, 66, 5132
768000, 67, 5152
770000, 74, 5169
772000, 79, 5040
774000, 69, 5192
776000, 70, 5102
778000, 77, 5133
780000, 74, 5184
782000, 74, 5129
784000, 79, 5104
786000, 66, 5041
788000, 63, 5126
790000, 67, 5107
792000, 75, 5041
794000, 63, 5186
796000, 74, 5028
798000, 69, 5105
800000, 62, 5007
802000, 60, 5167
804000, 77, 5032
806000, 71, 5125
808000, 62, 5118
810000, 64, 5006
812000, 72, 5028
814000, 63, 5157
816000, 78, 5121
818000, 69, 5010
820000, 68, 5110
822000, 72, 5127
824000, 75, 5173
826000, 65, 5091
828000, 75, 5158
830000, 64, 5085
832000, 75, 5043
834000, 65, 5045
836000, 69, 5129
838000, 64, 5099
840000, 72, 5062
842000, 68, 5090
844000, 65, 5148
846000, 65, 5044
848000, 77, 5090
850000, 79, 5181
852000, 70, 5192
854000, 66, 5030
856000, 72, 5011
858000, 69, 5177
860000, 78, 5034
862000, 69, 5128
864000, 68, 5097
866000, 62, 5009
868000, 64, 5040
870000, 70, 5141
872000, 78, 5060
874000, 77, 5188
876000, 72, 5155
878000, 63, 5195
880000, 61, 5123
882000, 64, 5120
884000, 62, 5056
886000, 73, 5133
888000, 71, 5110
890000, 68, 5166
892000, 66, 5029
894000, 61, 5035
896000, 60, 5107
898000, 78, 5037
900000, 68, 5168
902000, 71, 5111
904000, 77, 5088
906000, 76, 5191
908000, 66, 5151
910000, 72, 5012
912000, 64, 5046
914000, 66, 5101
916000, 62, 5031
918000, 66, 5007
920000, 77, 5079
922000, 65, 5194
924000, 65, 5170
926000, 63, 5114
928000, 71, 5181
930000, 78, 5122
932000, 63, 5111
934000, 69, 5192
936000, 68, 5046
938000, 70, 5069
940000, 62, 5195
942000, 65, 5116
944000, 69, 5119
946000, 77, 5100
948000, 78, 5100
950000, 60, 5076
952000, 67, 5171
954000, 64, 5043
956000, 72, 5022
958000, 61, 5006
960000, 70, 5065
962000, 77, 5093
964000, 77, 5077
966000, 70, 5018
968000, 75, 5108
970000, 73, 5126
972000, 61, 5195
974000, 67, 5051
976000, 70, 5030
978000, 71, 5182
980000, 75, 5061
982000, 75, 5120
984000, 77, 5034
986000, 60, 5154
988000, 79, 5027
990000, 77, 5051
992000, 64, 5121
994000, 77, 5169
996000, 70, 5090
998000, 75, 5090
1000000, 60, 5044
1002000, 63, 5081
1004000, 69, 5058
1006000, 61, 5034
1008000, 60, 5148
1010000, 62, 5122
1012000, 73, 5006
1014000, 69, 5194
1016000, 60, 5177
1018000, 61, 5193
1020000, 61, 5048
1022000, 63, 5161
1024000, 63, 5079
1026000, 69, 5094
1028000, 75, 5140
1030000, 72, 5159
1032000, 64, 5074
1034000, 67, 5092
1036000, 67, 5036
1038000, 77, 5100
1040000, 65, 5194
1042000, 71, 5084
1044000, 73, 5025
1046000, 77, 5195
1048000, 76, 5189
1050000, 75, 5063
1052000, 65, 5124
1054000, 67, 5123
1056000, 72, 5050
1058000, 71, 5075
1060000, 63, 5181
1062000, 74, 5154
1064000, 69, 5148
1066000, 60, 5100
1068000, 71, 5084
1070000, 77, 5198
1072000, 65, 5066
1074000, 77, 5055
1076000, 65, 5008
1078000, 66, 5018
1080000, 72, 5132
1082000, 78, 5134
1084000, 62, 5080
1086000, 65, 5193
1088000, 69, 5103
1090000, 71, 5137
1092000, 65, 5076
1094000, 66, 5000
1096000, 77, 5017
1098000, 72, 5006
1100000, 77, 5119
1102000, 67, 5174
1104000, 61, 5001
1106000, 72, 5040
1108000, 68, 5033
1110000, 66, 5000
1112000, 67, 5073
1114000, 74, 5087
1116000, 75, 5047
1118000, 64, 5006
1120000, 62, 5093
1122000, 77, 5039
1124000, 63, 5042
1126000, 74, 5090
1128000, 75, 5032
1130000, 73, 5161
1132000, 70, 5190
1134000, 66, 5181
1136000, 72, 5083
1138000, 67, 5113
1140000, 76, 5101
1142000, 73, 5170
1144000, 70, 5188
1146000, 79, 5157
1148000, 60, 5086
1150000, 71, 5032
1152000, 73, 5060
1154000, 64, 5136
1156000, 65, 5026
1158000, 67, 5100
1160000, 73, 5125
1162000, 70, 5144
1164000, 77, 5051
1166000, 71, 5199
1168000, 63, 5019
1170000, 66, 5047
1172000, 66, 5168
1174000, 61, 5025
1176000, 77, 5031
1178000, 70, 5187
1180000, 73, 5090
1182000, 73, 5118
1184000, 65, 5050
1186000, 67, 5018
1188000, 76, 5148
1190000, 75, 5020
1192000, 79, 5085
