PH, moisture
82000, 72, 5050
84000, 79, 5042
86000, 76, 5175
88000, 72, 5059
90000, 71, 5103
92000, 67, 5160
94000, 65, 5102
96000, 79, 5192
98000, 73, 5004
100000, 75, 5136
102000, 66, 5124
104000, 61, 5103
106000, 67, 5190
108000, 79, 5170
110000, 64, 5185
112000, 74, 5163
114000, 74, 5081
116000, 68, 5064
118000, 71, 5114
120000, 62, 5111
122000, 71, 5061
124000, 71, 5055
126000, 66, 5156
128000, 76, 5174
130000, 77, 5102
132000, 64, 5061
134000, 63, 5081
136000, 79, 5178
138000, 69, 5087
140000, 67, 5058
142000, 64, 5197
144000, 72, 5019
146000, 64, 5199
148000, 77, 5092
150000, 67, 5161
152000, 63, 5165
154000, 69, 5170
156000, 63, 5034
158000, 62, 5118
160000, 69, 5046
162000, 62, 5072
164000, 60, 5009
166000, 68, 5050
168000, 64, 5044
170000, 72, 5049
172000, 68, 5158
174000, 60, 5029
176000, 73, 5019
178000, 60, 5084
180000, 78, 5155
182000, 61, 5009
184000, 62, 5151
186000, 70, 5119
188000, 63, 5010
190000, 76, 5195
192000, 60, 5128
194000, 75, 5153
196000, 76, 5122
198000, 73, 5120
200000, 76, 5121
202000, 72, 5164
204000, 67, 5164
206000, 66, 5151
208000, 62, 5146
210000, 74, 5158
212000, 63, 5070
214000, 60, 5126
216000, 61, 5122
218000, 60, 5070
220000, 68, 5074
222000, 63, 5076
224000, 76, 5090
226000, 70, 5054
228000, 70, 5169
230000, 68, 5118
232000, 63, 5032
234000, 73, 5074
236000, 62, 5152
238000, 72, 5003
240000, 68, 5080
242000, 66, 5034
244000, 65, 5020
246000, 64, 5058
248000, 60, 5185
250000, 70, 5147
252000, 79, 5074
254000, 74, 5162
256000, 66, 5078
258000, 67, 5020
260000, 67, 5010
262000, 65, 5046
264000, 66, 5135
266000, 68, 5048
268000, 74, 5105
270000, 68, 5145
272000, 78, 5009
274000, 63, 5017
276000, 71, 5036
278000, 72, 5140
280000, 75, 5146
282000, 68, 5077
