PH, moisture
82000, 77, 5093
84000, 79, 5052
86000, 76, 5062
88000, 64, 5068
90000, 71, 5012
92000, 73, 5056
94000, 61, 5163
96000, 69, 5025
98000, 70, 5098
100000, 71, 5069
102000, 76, 5056
104000, 72, 5031
106000, 79, 5075
108000, 68, 5180
110000, 76, 5018
112000, 70, 5076
114000, 64, 5015
116000, 65, 5114
118000, 77, 5152
120000, 72, 5113
122000, 63, 5130
124000, 78, 5083
126000, 67, 5116
128000, 77, 5155
130000, 66, 5182
132000, 78, 5151
134000, 74, 5157
136000, 75, 5171
138000, 64, 5069
140000, 73, 5067
142000, 75, 5153
144000, 67, 5159
146000, 67, 5130
148000, 60, 5181
150000, 64, 5133
152000, 74, 5125
154000, 69, 5039
156000, 60, 5106
158000, 61, 5105
160000, 76, 5156
162000, 62, 5181
164000, 79, 5001
166000, 60, 5018
168000, 60, 5080
170000, 62, 5112
172000, 66, 5152
174000, 76, 5190
176000, 74, 5099
178000, 75, 5156
180000, 77, 5009
182000, 69, 5149
184000, 71, 5194
186000, 68, 5062
188000, 62, 5100
190000, 70, 5132
192000, 77, 5067
194000, 65, 5010
196000, 63, 5149
198000, 76, 5076
200000, 68, 5045
202000, 67, 5014
204000, 75, 5056
206000, 79, 5015
208000, 62, 5187
210000, 71, 5147
212000, 69, 5022
214000, 72, 5095
216000, 69, 5188
218000, 61, 5133
220000, 63, 5195
222000, 68, 5015
224000, 72, 5149
226000, 65, 5095
228000, 69, 5024
230000, 77, 5135
232000, 73, 5186
234000, 64, 5139
236000, 67, 5065
238000, 65, 5057
240000, 72, 5075
242000, 78, 5180
244000, 78, 5064
246000, 65, 5089
248000, 63, 5080
250000, 64, 5185
252000, 76, 5136
254000, 62, 5123
256000, 77, 5196
258000, 76, 5013
260000, 61, 5199
262000, 79, 5131
264000, 69, 5134
266000, 68, 5142
268000, 68, 5008
270000, 73, 5078
272000, 75, 5066
274000, 68, 5128
276000, 70, 5171
278000, 78, 5156
280000, 75, 5090
282000, 65, 5089
284000, 70, 5155
286000, 69, 5057
288000, 78, 5053
290000, 70, 5172
292000, 65, 5024
294000, 74, 5104
296000, 72, 5043
298000, 65, 5000
300000, 61, 5016
302000, 69, 5174
304000, 75, 5150
306000, 74, 5174
308000, 61, 5117
310000, 71, 5004
312000, 72, 5102
314000, 72, 5096
316000, 71, 5099
318000, 60, 5095
320000, 75, 5060
322000, 61, 5159
324000, 61, 5125
326000, 62, 5038
328000, 70, 5067
330000, 71, 5103
332000, 78, 5014
334000, 77, 5058
336000, 75, 5011
338000, 62, 5000
340000, 65, 5040
342000, 76, 5079
344000, 70, 5142
346000, 68, 5155
348000, 73, 5013
350000, 67, 5097
352000, 69, 5015
354000, 71, 5065
356000, 72, 5153
358000, 70, 5052
360000, 76, 5180
362000, 61, 5025
364000, 75, 5125
366000, 78, 5000
368000, 71, 5189
370000, 73, 5006
372000, 68, 5029
374000, 77, 5187
376000, 73, 5124
378000, 64, 5055
380000, 77, 5195
382000, 69, 5091
384000, 72, 5152
386000, 62, 5146
388000, 66, 5182
390000, 67, 5164
392000, 74, 5125
394000, 62, 5115
396000, 74, 5068
398000, 68, 5026
400000, 70, 5112
402000, 72, 5009
404000, 77, 5045
406000, 69, 5171
408000, 72, 5179
410000, 64, 5196
412000, 78, 5127
414000, 78, 5171
416000, 61, 5104
418000, 77, 5073
420000, 72, 5067
422000, 76, 5115
424000, 76, 5194
426000, 77, 5102
428000, 71, 5050
430000, 79, 5041
432000, 74, 5112
434000, 63, 5188
436000, 79, 5105
438000, 77, 5048
440000, 74, 5108
442000, 65, 5069
444000, 75, 5049
446000, 69, 5106
448000, 67, 5072
450000, 78, 5134
452000, 60, 5145
454000, 65, 5151
456000, 62, 5058
458000, 60, 5184
460000, 75, 5156
