PH, moisture
82000, 62, 5075
84000, 78, 5164
86000, 66, 5005
88000, 76, 5066
90000, 74, 5064
92000, 70, 5177
94000, 61, 5027
96000, 79, 5176
98000, 67, 5160
100000, 61, 5074
102000, 63, 5032
104000, 77, 5010
106000, 79, 5044
108000, 60, 5121
110000, 66, 5112
112000, 68, 5150
114000, 61, 5052
116000, 79, 5133
118000, 68, 5031
120000, 79, 5104
122000, 61, 5100
124000, 76, 5099
126000, 60, 5061
128000, 79, 5124
130000, 69, 5064
132000, 77, 5045
134000, 76, 5133
136000, 75, 5034
138000, 73, 5119
140000, 75, 5137
142000, 62, 5088
144000, 68, 5186
146000, 70, 5038
148000, 73, 5161
150000, 61, 5138
152000, 70, 5050
154000, 63, 5024
156000, 77, 5199
158000, 78, 5146
160000, 62, 5042
162000, 71, 5112
164000, 66, 5159
166000, 65, 5037
168000, 71, 5048
170000, 67, 5054
172000, 71, 5187
174000, 67, 5065
176000, 78, 5064
178000, 75, 5018
180000, 70, 5057
182000, 77, 5069
184000, 68, 5195
186000, 61, 5073
188000, 74, 5180
190000, 70, 5076
192000, 64, 5192
194000, 72, 5048
196000, 68, 5176
198000, 70, 5016
200000, 64, 5158
202000, 63, 5047
204000, 72, 5176
206000, 62, 5074
208000, 71, 5019
210000, 77, 5158
212000, 74, 5071
214000, 66, 5026
216000, 72, 5084
218000, 72, 5056
220000, 70, 5061
222000, 73, 5107
224000, 61, 5063
226000, 63, 5031
228000, 74, 5023
230000, 73, 5064
232000, 74, 5101
234000, 73, 5067
236000, 70, 5030
238000, 62, 5195
240000, 77, 5043
242000, 73, 5101
244000, 79, 5037
246000, 65, 5000
248000, 70, 5194
250000, 62, 5133
252000, 76, 5032
254000, 77, 5125
256000, 78, 5009
258000, 79, 5157
260000, 76, 5070
262000, 60, 5010
264000, 76, 5033
266000, 70, 5175
268000, 68, 5085
270000, 71, 5115
272000, 71, 5147
274000, 70, 5049
276000, 70, 5182
278000, 72, 5184
280000, 77, 5044
282000, 72, 5059
284000, 66, 5013
286000, 73, 5167
288000, 64, 5113
290000, 68, 5119
292000, 64, 5040
294000, 78, 5092
296000, 74, 5169
298000, 70, 5009
300000, 79, 5114
302000, 78, 5137
304000, 67, 5190
306000, 70, 5117
308000, 64, 5102
310000, 71, 5084
312000, 69, 5017
314000, 72, 5045
316000, 61, 5056
318000, 77, 5066
320000, 76, 5016
322000, 67, 5054
324000, 61, 5057
326000, 69, 5138
328000, 78, 5110
330000, 62, 5050
332000, 78, 5067
334000, 70, 5021
336000, 67, 5149
338000, 65, 5194
340000, 62, 5008
342000, 73, 5123
344000, 72, 5010
346000, 70, 5080
348000, 66, 5197
350000, 77, 5043
352000, 75, 5021
354000, 71, 5092
356000, 63, 5068
358000, 61, 5167
360000, 67, 5144
362000, 64, 5121
364000, 61, 5106
366000, 74, 5154
368000, 68, 5180
370000, 70, 5109
372000, 77, 5186
374000, 71, 5084
376000, 79, 5057
378000, 60, 5085
380000, 75, 5119
382000, 66, 5162
384000, 67, 5057
386000, 75, 5091
388000, 74, 5070
390000, 74, 5000
392000, 61, 5050
394000, 68, 5106
396000, 78, 5043
398000, 78, 5128
400000, 79, 5028
402000, 72, 5174
404000, 61, 5131
406000, 71, 5066
408000, 68, 5116
410000, 74, 5042
