PH, moisture
82000, 65, 5060
84000, 65, 5167
86000, 76, 5072
88000, 76, 5096
90000, 67, 5044
92000, 60, 5016
94000, 65, 5145
96000, 65, 5061
98000, 61, 5073
100000, 70, 5133
102000, 66, 5113
104000, 63, 5049
106000, 68, 5091
108000, 63, 5180
110000, 61, 5088
112000, 69, 5015
114000, 61, 5140
116000, 69, 5003
118000, 70, 5026
120000, 71, 5186
122000, 66, 5007
124000, 72, 5154
126000, 70, 5077
128000, 77, 5125
130000, 73, 5197
132000, 76, 5189
134000, 64, 5171
136000, 64, 5168
138000, 69, 5056
140000, 70, 5028
142000, 66, 5142
144000, 70, 5074
146000, 66, 5137
148000, 61, 5007
150000, 66, 5037
152000, 73, 5050
154000, 60, 5059
156000, 62, 5131
158000, 74, 5114
160000, 63, 5075
162000, 76, 5049
164000, 73, 5027
166000, 78, 5150
168000, 73, 5139
170000, 63, 5117
172000, 63, 5002
174000, 63, 5156
176000, 64, 5042
178000, 66, 5160
180000, 67, 5104
182000, 73, 5152
184000, 64, 5059
186000, 70, 5022
188000, 68, 5115
190000, 66, 5136
192000, 75, 5136
194000, 79, 5030
196000, 72, 5157
198000, 68, 5107
200000, 69, 5034
202000, 63, 5140
204000, 74, 5099
206000, 76, 5139
208000, 77, 5077
210000, 72, 5190
212000, 71, 5026
214000, 72, 5024
216000, 77, 5048
218000, 62, 5199
220000, 77, 5163
222000, 66, 5052
224000, 69, 5194
226000, 73, 5188
228000, 65, 5119
230000, 70, 5170
232000, 79, 5092
234000, 62, 5082
236000, 72, 5039
238000, 67, 5172
240000, 62, 5198
242000, 67, 5047
244000, 71, 5104
246000, 75, 5089
248000, 74, 5096
250000, 66, 5168
252000, 71, 5112
254000, 77, 5135
256000, 65, 5111
258000, 78, 5108
260000, 71, 5132
262000, 76, 5094
264000, 67, 5067
266000, 74, 5023
268000, 76, 5181
270000, 69, 5025
272000, 66, 5000
274000, 64, 5163
276000, 61, 5133
278000, 68, 5107
280000, 66, 5022
