PH, moisture
82000, 70, 5198
84000, 64, 5181
86000, 76, 5040
88000, 70, 5091
90000, 79, 5074
92000, 73, 5074
94000, 74, 5113
96000, 61, 5048
98000, 74, 5077
100000, 79, 5090
102000, 67, 5159
104000, 77, 5145
106000, 61, 5189
108000, 79, 5196
110000, 75, 5152
112000, 66, 5170
114000, 77, 5128
116000, 69, 5180
118000, 69, 5013
120000, 73, 5061
122000, 71, 5083
124000, 72, 5037
126000, 62, 5178
128000, 67, 5145
130000, 72, 5043
132000, 67, 5064
134000, 65, 5006
136000, 62, 5150
138000, 67, 5174
140000, 74, 5017
142000, 66, 5143
144000, 68, 5018
146000, 72, 5157
148000, 71, 5004
150000, 73, 5003
152000, 70, 5114
154000, 65, 5190
156000, 63, 5004
158000, 70, 5184
160000, 78, 5138
162000, 75, 5183
164000, 74, 5157
166000, 66, 5184
168000, 73, 5166
170000, 67, 5195
172000, 61, 5183
174000, 67, 5003
176000, 67, 5098
178000, 78, 5198
180000, 77, 5164
182000, 78, 5038
184000, 79, 5153
186000, 72, 5087
188000, 70, 5020
190000, 60, 5039
192000, 74, 5089
194000, 65, 5184
196000, 74, 5091
198000, 67, 5111
200000, 68, 5103
202000, 74, 5141
204000, 78, 5183
206000, 72, 5184
208000, 66, 5191
210000, 79, 5132
212000, 63, 5049
214000, 69, 5084
216000, 72, 5176
218000, 79, 5130
220000, 63, 5108
222000, 77, 5037
224000, 60, 5102
226000, 73, 5166
228000, 77, 5107
230000, 60, 5162
232000, 75, 5098
234000, 69, 5169
236000, 67, 5051
238000, 67, 5139
240000, 73, 5092
242000, 78, 5089
244000, 71, 5105
246000, 72, 5151
248000, 68, 5104
250000, 77, 5129
252000, 63, 5069
254000, 66, 5109
256000, 71, 5050
258000, 62, 5032
260000, 72, 5049
262000, 66, 5149
264000, 63, 5167
266000, 74, 5004
268000, 74, 5060
270000, 76, 5094
272000, 79, 5180
274000, 74, 5140
276000, 74, 5051
278000, 69, 5016
280000, 75, 5078
282000, 79, 5141
284000, 66, 5155
286000, 60, 5019
288000, 78, 5197
290000, 63, 5091
292000, 74, 5080
294000, 61, 5157
296000, 60, 5055
298000, 78, 5113
300000, 64, 5064
302000, 70, 5133
304000, 67, 5150
306000, 64, 5118
308000, 73, 5034
310000, 73, 5146
312000, 77, 5113
314000, 67, 5003
316000, 77, 5115
318000, 61, 5047
320000, 77, 5195
322000, 79, 5002
324000, 63, 5171
326000, 74, 5091
328000, 77, 5040
330000, 61, 5072
332000, 77, 5071
334000, 67, 5184
336000, 67, 5025
338000, 78, 5166
340000, 71, 5094
342000, 72, 5019
344000, 68, 5116
346000, 78, 5095
348000, 78, 5081
350000, 69, 5146
352000, 60, 5102
354000, 61, 5065
356000, 72, 5109
358000, 73, 5125
360000, 76, 5012
362000, 68, 5137
364000, 61, 5071
366000, 63, 5098
368000, 75, 5098
370000, 75, 5022
372000, 75, 5005
374000, 78, 5076
376000, 67, 5051
378000, 72, 5133
380000, 76, 5197
382000, 74, 5113
384000, 67, 5035
386000, 77, 5193
388000, 65, 5191
390000, 66, 5034
392000, 74, 5124
394000, 64, 5048
396000, 64, 5171
398000, 69, 5057
400000, 61, 5143
402000, 70, 5161
404000, 71, 5099
406000, 71, 5032
408000, 70, 5023
410000, 64, 5029
412000, 72, 5036
414000, 62, 5171
416000, 76, 5192
418000, 66, 5116
420000, 76, 5111
422000, 63, 5131
424000, 72, 5170
426000, 76, 5177
428000, 69, 5142
430000, 67, 5113
432000, 74, 5057
434000, 74, 5031
436000, 78, 5017
438000, 67, 5096
440000, 66, 5021
442000, 75, 5100
444000, 75, 5051
446000, 66, 5150
448000, 78, 5099
450000, 73, 5001
452000, 60, 5057
454000, 68, 5004
456000, 62, 5154
458000, 61, 5017
460000, 76, 5078
462000, 76, 5029
464000, 62, 5079
466000, 69, 5163
468000, 60, 5109
470000, 63, 5163
472000, 60, 5029
474000, 62, 5168
476000, 71, 5138
478000, 77, 5126
480000, 68, 5039
482000, 74, 5134
484000, 62, 5041
486000, 75, 5066
488000, 66, 5073
490000, 71, 5103
492000, 72, 5127
494000, 74, 5078
496000, 60, 5149
498000, 66, 5101
500000, 73, 5152
502000, 60, 5121
504000, 67, 5133
